Julie,Andrews,The Sound of Music
Ian,Holm,The Lord of the Rings: The Return of the King
Ian,Holm,The Lord of the Rings: The Two Towers
Katie,Holmes,Batman Begins
Bryce,Howard,The Village
Kelly,Hu,X2
Kate,Hudson,Almost Famous
Holly,Hunter,The Incredibles
John,Hurt,Hellboy
William,Hurt,The Village
Hugh,Jackman,X2
Samuel,Jackson,All Over Me
Samuel,Jackson,Coach Carter
Samuel,Jackson,Coach Carter
Samuel L.,Jackson,Jurassic Park
Samuel,Jackson,One Eight Seven
Samuel,Jackson,"Star Wars, Episode 3: Revenge of the Sith"
Samuel L.,Jackson,The Incredibles
Scarlett,Johansson,Ghost World
Scarlett,Johansson,Girl with a Pearl Earring
Scarlett,Johansson,Lost In Translation
Angelina,Jolie,Alexander
Angelina,Jolie,Bone Collector
Angelina,Jolie,Gone in 60 Seconds
Angelina,Jolie,Mr. and Mrs. Smith
Vinnie,Jones,Snatch
TommyLee,Jones,The Hunted
Nicky,Katt,Boiler Room
Diane,Keaton,The Godfather
Michael,Keaton,White Noise
Harvey,Keitel,National Treasure
Jamie,Kennedy,Son Of The Mask
Nicole,Kidman,Birth
Nicole,Kidman,Cold Mountain
Nicole,Kidman,Eyes Wide Shut
Nicole,Kidman,Moulin Rouge
Nicole,Kidman,The Others
Nicole,Kidman,The Stepford Wives
Kristin,Kreuk,Eurotrip
Kristin,Kreuk,Smallville: Season 3
Kirsten Dunst,Kreuk,Spider Man
Kirsten Dunst,Kreuk,Spider Man 2
Diane,Kruger,Troy
Jude,Law,Cold Mountain
Jude,Law,I Heart Huckabees
Jude,Law,Lemony Snicket's A Series of Unfortunate Events
George,Lazenby,On Her Majestys Secret Service
Bernard,Lee,Diamonds are Forever
Bernard,Lee,Dr. No
Will Yun,Lee,Elektra
Bernard,Lee,From Russia with Love
Bernard,Lee,Goldfinger
Bernard,Lee,Live and Let Die
Bernard,Lee,Moonraker
Bernard,Lee,On Her Majestys Secret Service
Bernard,Lee,The Man with the Golden Gun
Bernard,Lee,The Spy Who Loved Me
Bernard,Lee,Thunderball
Bernard,Lee,You Only Live Twice
Vivien,Leigh,Gone with the Wind
Jet,Li,Hero
Jet,Li,Hero
Jet,Li,Unleashed
Desmond,Llewelyn,A View to a Kill
Desmond,Llewelyn,Diamonds are Forever
Desmond,Llewelyn,For Your Eyes Only
Desmond,Llewelyn,From Russia with Love
Desmond,Llewelyn,GoldenEye
Desmond,Llewelyn,Goldfinger
Desmond,Llewelyn,Licence to Kill
Desmond,Llewelyn,Moonraker
Desmond,Llewelyn,Octopussy
Desmond,Llewelyn,On Her Majestys Secret Service
Desmond,Llewelyn,The Living Daylights
Desmond,Llewelyn,The Man with the Golden Gun
Desmond,Llewelyn,The Spy Who Loved Me
Desmond,Llewelyn,The World is Not Enough
Desmond,Llewelyn,Thunderball
Desmond,Llewelyn,Tomorrow Never Dies
Desmond,Llewelyn,You Only Live Twice
Nia,Long,Boiler Room
Jennifer,Lopez,Shall We Dance
Jennifer,Lopez,Shall We Dance
Ewan,MacGregor,Moulin Rouge
Ewan,MacGregor,Star Wars: Episode I
Tobey,Maguire,Batman Begins
Tobey,Maguire,Ride With the Devil
Tobey,Maguire,Spider-Man 2
Tobey,Maguire,Spiderman 2
Lois,Maxwell,A View to a Kill
Lois,Maxwell,Diamonds are Forever
Lois,Maxwell,Dr. No
Lois,Maxwell,For Your Eyes Only
Lois,Maxwell,From Russia with Love
Lois,Maxwell,Goldfinger
Lois,Maxwell,Live and Let Die
Lois,Maxwell,Moonraker
Lois,Maxwell,Octopussy
Lois,Maxwell,On Her Majestys Secret Service
Lois,Maxwell,The Man with the Golden Gun
Lois,Maxwell,The Spy Who Loved Me
Lois,Maxwell,Thunderball
Lois,Maxwell,You Only Live Twice
Martine,McCutcheor,Love Actually
Malcolm,McDowell,3000 Miles to Graceland
Malcolm,McDowell,A Clockwork Orange
Ewan,McGregor,Moulin Rouge
Ewan,McGregor,Robots
Ewan,McGregor,"Star Wars, Episode 3: Revenge of the Sith"
Ian,McKellen,The Lord of the Rings: The Fellowship of the Ring
Ian,McKellen,The Lord of the Rings: The Return of the King
Ian,McKellen,The Lord of the Rings: The Two Towers
Eva,Mendes,Training Day
Roger,Moore,A View to a Kill
Michael,Moore,Bowling for Columbine
Michael,Moore,Fahrenheit 9/11
Roger,Moore,For Your Eyes Only
Roger,Moore,Live and Let Die
Roger,Moore,Moonraker
Roger,Moore,Octopussy
Roger,Moore,The Man with the Golden Gun
Roger,Moore,The Spy Who Loved Me
Viggo,Mortensen,The Lord of the Rings: The Fellowship of the Ring
Viggo,Mortensen,The Lord of the Rings: The Return of the King
Viggo,Mortensen,The Lord of the Rings: The Two Towers
Frankie,Muniz,Racing Stripes
New Eddie,Murphy,Shrek
Bill,Murray,The Life Aquatic
Mike,Myers,Shrek
Patricia,Neal,Breakfast at Tiffany's
Liam,Neeson,Batman Begins
Craig,Nelson,The Incredibles
Al,Pacino,Any Given Sunday
Al,Pacino,Scarface
Al,Pacino,The Godfather
Gregory,Peck,Roman Holiday
Sean,Penn,Mystic River
George,Peppard,Breakfast at Tiffany's
Ron,Perlman,Hellboy
Michelle,Pfeiffer,Scarface
Joaquin,Phoenix,The Village
David,Pierce,Hellboy
Brad,Pitt,12 Monkeys
Brad,Pitt,Mr. and Mrs. Smith
Brad,Pitt,Ocean Twelve
Brad,Pitt,Ocean's Eleven
Brad,Pitt,Ocean's Eleven
Brad,Pitt,Ocean's Twelve
Brad,Pitt,Ocean's Twelve
Brad,Pitt,Oceans Eleven
Brad,Pitt,Oceans Eleven
Brad,Pitt,Oceans Twelve
Brad,Pitt,Seven
Brad,Pitt,Snatch
Brad,Pitt,Snatch.
Micheal,Pitt,The Village
Brad,Pitt,Troy
Natalie,Portman,Garden State
Natalie,Portman,"Star Wars, Episode 3: Revenge of the Sith"
Natalie,Portman,Star Wars: Episode I
Natalie,Portman,Star Wars: Episode III - Revenge of the Sith
Franka,Potente,Bourne Identity
Dennis,Quaid,In Good Company
Dennis,Quaid,Love Actually
Aishwarya,Rai,Bride and Prejudice
Keanu,Reeves,The Matrix
Keanu,Reeves,The Matrix Reloaded
Keanu,Reeves,The Matrix Revolutions
Keanu,Reeves,Walk in the Clouds
Giovanni,Ribisi,Boiler Room
Giovanni,Ribsi,Boiler Room
Giovanni,Ribsi,Gone in 60 Seconds
Christina,Ricci,Sleepy Hollow
Tim,Robbins,Mystic River
Julia,Roberts,Notting Hill
Julia,Roberts,Ocean Twelve
Julia,Roberts,Ocean's Eleven
Julia,Roberts,Ocean's Twelve
Julia,Roberts,Oceans Eleven
Julia,Roberts,Oceans Eleven
Julia,Roberts,Oceans Twelve
Julia,Roberts,Pretty Woman
Julia,Roberts,Runaway Bride
Julia,Roberts,Stepmom
Rebecca,Romijn-Stamos,X2
Mickey,Rooney,Breakfast at Tiffany's
Emmy,Rossum,Mystic River
Mark,Ruffalo,Eternal Sunshine of the Spotless Mind
Geoffrey,Rush,Swimming Upstream
Kurt,Russell,3000 Miles to Graceland
Kurt,Russell,A Clockwork Orange
Meg,Ryan,Courage Under Fire
Meg,Ryan,Proof of Life
Meg,Ryan,When Harry Met Sally
Meg,Ryan,You've Got Mail
Adam,Sandler,50 First Dates
Arnold,Schwarzenegger,The Terminator
William,Scott,Gone in 60 Seconds
Tony,Shalhoub,All or Nothing
Tony,Shalhoub,Thir13en Ghosts
Gary,Sinise,Forrest Gump
Christian,Slater,Alone in the Dark 
Will,Smith,Hitch
Will,Smith,Independence Day
Will,Smith,Men In Black
Will,Smith,Men in Black II
Kevin,Spacey,The Usual Suspects
Timothy,Spall,All or Nothing
Timothy,Spall,Thir13en Ghosts
Sylvester,Stallone,Driven
Jason,Statham,Snatch
Ben,Stiller,Along Came Polly
Ben,Stiller,Dodgeball: A True Underdog Story
Ben,Stiller,Meet the Fockers
Ben,Stiller,Meet the Fockers
Ben,Stiller,Starsky & Hutch
Ben,Stiller,Zoolander
Madeleine,Stowe,12 Monkeys
Meryl,Streep,Lemony Snicket's A Series of Unfortunate Events
Barbra,Streisand,Meet the Fockers
Tara,Subkoff,All Over Me
Tara,Subkoff,One Eight Seven
Kiefer,Sutherland,The Lost Boys
Mena,Suvari,American Beauty
Asanee,Suwan,Beautiful Boxer
Hilary,Swank,2001: A Space Odyssey
Hilary,Swank,The Affair of the Necklace
Jeffery,Tambor,Hellboy
Audrey,Tautou,Amelie
Audrey,Tautou,Le Fabuleux destin dAm?ie Poulain
Chris,Tucker,Rush Hour 2
Chris,Tucker,The Fifth Element
Liv,Tyler,Lord of the Rings: The Return of the King
Liv,Tyler,Lord of the Rings: The Two Towers
Liv,Tyler,The Lord of the Rings: The Fellowship of the Ring
Liv,Tyler,The Lord of the Rings: The Return of the King
Liv,Tyler,The Lord of the Rings: The Return of the King
Liv,Tyler,The Lord of the Rings: The Two Towers
Liv,Tyler,The Lord of the Rings: The Two Towers
Casper,Van Dien,Starship Troopers
Vince,Vaughn,Dodgeball: A True Underdog Story
Vince,Vaughn,Starsky & Hutch
Goran,Visnjic,Elektra
Christopher,Walken,Man on Fire
Christopher,Walken,The Stepford Wives
Paul,Walker,The Fast and the Furious
Emmet,Walsh,Racing Stripes
Estella,Warren,Driven
Kerry,Washington,Bad Company
Denzel,Washington,Bone Collector
Denzel,Washington,Courage Under Fire
Denzel,Washington,Man on Fire
Denzel,Washington,Philadelphia
Kerry,Washington,Ray
Denzel,Washington,Training Day
Naomi,Watts,The Ring 2
Marlon,Wayans,White Chicks
Sigourney,Weaver,Alien
Sigourney,Weaver,Alien3
Sigourney,Weaver,Aliens
Sigourney,Weaver,The Village
Hugo,Weaving,The Lord of the Rings: The Fellowship of the Ring
Hugo,Weaving,The Lord of the Rings: The Return of the King
Hugo,Weaving,The Lord of the Rings: The Two Towers
Hugo,Weaving,The Matrix
Hugo,Weaving,The Matrix Reloaded
Hugo,Weaving,The Matrix Revolutions
Robin,Williams,Being Human
Robin,Williams,Bicentennial Man
Robin,Williams,Good Will Hunting
Robin,Williams,Insomnia
Bruce,Willis,12 Monkeys
Bruce,Willis,Hostage
Bruce,Willis,The Fifth Element
Bruce,Willis,The Sixth Sense
Owen,Wilson,Meet the Fockers
Owen,Wilson,Starsky & Hutch
Owen,Wilson,The Life Aquatic
Owen,Wilson,Zoolander
Kate,Winslet,External Sunshine of the Spotless Mind
Kate,Winslet,Finding Neverland
Kate,Winslet,Titanic
Elijah,Wood,The Lord of the Rings: The Fellowship of the Ring
Elijah,Wood,The Lord of the Rings: The Return of the King
Elijah,Wood,The Lord of the Rings: The Return of the King
Elijah,Wood,The Lord of the Rings: The Two Towers
Elijah,Wood,The Lord of the Rings: The Two Towers
Renee,Zellweger,Cinderella Man
Renee,Zellweger,Cold Mountain
Catherine,Zeta-Jones,Intolerable Cruelty
Catherine,Zeta-Jones,Intolerable Cruelty
Catherine,Zeta-Jones,Ocean Twelve
Catherine,Zeta-Jones,Ocean's Eleven
Catherine,Zeta-Jones,Ocean's Twelve
Catherine,Zeta-Jones,Oceans Twelve
Catherine,Zeta-Jones,The terminal
Catherine,Zeta-Jones,Traffic
Zhang,Ziyi,Crouching Tiger Hidden Dragon
